"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
0,0,0,2,1,3,2,0,0,2,3,0,0,0,0
0,0,0,3,0,0,1,1,0,0,0,0,0,0,0
0,0,0,1,6,4,13,1,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,2,1,0,0,0
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,1,0,3,4,2,3,0,0
0,0,0,0,1,0,0,1,2,1,0,0,0,0,1
0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,2,0,1,1,1,0,0,0
0,0,0,0,2,0,0,1,0,0,1,0,0,1,0
0,0,0,0,1,1,1,0,1,0,0,7,8,0,0
0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,1,11,5,3,9,7,19,10,8,3
0,0,0,0,1,1,0,0,2,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,2,0,3,0,0,3,0
0,0,0,0,1,0,1,0,2,0,1,0,0,0,0
0,0,0,0,1,0,0,3,1,2,1,0,1,1,0
0,0,0,0,1,3,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,2,0,2,1,0,0,0,1
0,0,0,0,2,5,2,2,0,8,4,1,14,1,6
0,0,0,0,1,0,0,1,0,0,2,2,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,2,2,6,0,9,3,10,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,5,6,0,5,4,0,0,0,0,0
0,0,0,0,1,0,1,2,1,0,2,0,1,1,0
0,0,0,0,1,0,7,1,1,7,19,21,14,10,35
0,0,0,0,1,0,0,1,3,0,0,2,2,0,0
0,0,0,0,1,0,1,0,1,0,0,0,0,1,2
0,0,0,0,2,1,1,0,1,0,2,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,3,2,2,1,0,1,3,8,2,0
0,0,0,0,1,1,1,1,0,0,0,1,0,0,0
0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
0,0,0,0,1,0,2,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,2,0,0,0,0,0,1,2,0,0,0
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
0,0,0,0,1,0,1,0,0,3,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,1,2,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,6,12,4,5,18,3,0,1,0,0
0,0,0,0,1,0,16,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,5,4,12,3,8,0,1,0,0,0
